CMDLINE 22536
MEM 3.417969 1714303916.3849
MEM 3.417969 1714303916.4854
MEM 3.417969 1714303916.5864
MEM 3.417969 1714303916.6869
MEM 3.417969 1714303916.7873
MEM 3.417969 1714303916.8880
MEM 3.417969 1714303916.9884
MEM 3.417969 1714303917.0888
MEM 3.417969 1714303917.1890
MEM 3.417969 1714303917.2896
MEM 3.417969 1714303917.3901
MEM 3.417969 1714303917.4904
MEM 3.417969 1714303917.5910
MEM 3.417969 1714303917.6914
MEM 3.417969 1714303917.7921
MEM 3.417969 1714303917.8928
MEM 3.417969 1714303917.9933
MEM 3.417969 1714303918.0941
MEM 3.417969 1714303918.1943
MEM 3.417969 1714303918.2954
MEM 3.417969 1714303918.3958
MEM 3.417969 1714303918.4964
MEM 3.417969 1714303918.5969
MEM 3.417969 1714303918.6970
MEM 3.417969 1714303918.7976
MEM 3.417969 1714303918.8983
MEM 3.417969 1714303918.9990
MEM 3.417969 1714303919.0996
MEM 3.417969 1714303919.1998
MEM 3.417969 1714303919.3003
MEM 3.417969 1714303919.4005
MEM 3.417969 1714303919.5012
MEM 3.417969 1714303919.6018
MEM 3.417969 1714303919.7026
MEM 3.417969 1714303919.8030
MEM 3.417969 1714303919.9038
MEM 3.417969 1714303920.0043
MEM 3.417969 1714303920.1045
MEM 3.417969 1714303920.2050
MEM 3.417969 1714303920.3057
MEM 3.417969 1714303920.4061
MEM 3.417969 1714303920.5072
MEM 3.417969 1714303920.6080
MEM 3.417969 1714303920.7087
MEM 3.417969 1714303920.8094
MEM 3.417969 1714303920.9097
MEM 3.417969 1714303921.0100
MEM 3.417969 1714303921.1104
MEM 3.417969 1714303921.2110
MEM 3.417969 1714303921.3114
MEM 3.417969 1714303921.4116
MEM 3.417969 1714303921.5122
MEM 3.417969 1714303921.6128
MEM 3.417969 1714303921.7132
MEM 3.417969 1714303921.8134
MEM 3.417969 1714303921.9140
MEM 3.417969 1714303922.0146
MEM 3.417969 1714303922.1152
MEM 3.417969 1714303922.2154
MEM 3.417969 1714303922.3164
MEM 3.417969 1714303922.4169
MEM 3.417969 1714303922.5176
MEM 3.417969 1714303922.6183
MEM 3.417969 1714303922.7185
MEM 3.417969 1714303922.8189
MEM 3.417969 1714303922.9197
MEM 3.417969 1714303923.0203
MEM 3.417969 1714303923.1211
MEM 3.417969 1714303923.2216
MEM 3.417969 1714303923.3218
MEM 3.417969 1714303923.4224
MEM 3.417969 1714303923.5226
MEM 3.417969 1714303923.6231
MEM 3.417969 1714303923.7238
MEM 3.417969 1714303923.8243
MEM 3.417969 1714303923.9247
